"Policy_ID","Customer_Segment","Product","Channel","Region","Issue_Date","Due_Date","Payment_Date","Month","Premium_TRY","Collected_TRY","Outstanding_TRY","Payment_Status","Days_Late","Aging_Bucket","Currency","Agent_ID","Risk_Score","Renewal_Flag"
"POL-00012","KOBİ","Seyahat","Dijital","Akdeniz","2025-03-19","2025-04-08","2025-04-03","2025-03","4020","4020","0","Paid On Time","0","Not Applicable","TRY","AG-02","38","Yes"
"POL-00013","Bireysel","Konut","Çağrı Merkezi","Karadeniz","2025-04-21","2025-05-20","2025-05-18","2025-04","4700","4700","0","Paid On Time","0","Not Applicable","TRY","AG-03","28","No"
"POL-00014","Bireysel","Sağlık","Acente","Marmara","2025-10-24","2025-11-10","2025-12-04","2025-10","29880","29880","0","Paid Late","24","Not Applicable","TRY","AG-17","79","Yes"
"POL-00015","KOBİ","Trafik","Acente","Marmara","2025-11-08","2025-11-28","2025-11-24","2025-11","16270","16270","0","Paid On Time","0","Not Applicable","TRY","AG-01","66","Yes"
"POL-00016","Bireysel","Trafik","Acente","Ege","2025-04-16","2025-05-02","2025-04-27","2025-04","6760","6760","0","Paid On Time","0","Not Applicable","TRY","AG-17","38","No"
"POL-00017","Bireysel","Sağlık","Dijital","Akdeniz","2025-06-02","2025-07-01","2025-06-29","2025-06","32900","32900","0","Paid On Time","0","Not Applicable","TRY","AG-11","68","Yes"
"POL-00018","Bireysel","Trafik","Çağrı Merkezi","Marmara","2025-06-07","2025-06-23","2025-06-22","2025-06","9270","9270","0","Paid On Time","0","Not Applicable","TRY","AG-02","56","Yes"
"POL-00019","Kurumsal","Kasko","Acente","Marmara","2025-10-08","2025-10-27","2025-10-22","2025-10","69470","69470","0","Paid On Time","0","Not Applicable","EUR","AG-17","52","Yes"
"POL-00020","Bireysel","Sağlık","Dijital","Ege","2025-07-07","2025-08-06","2025-09-02","2025-07","31000","31000","0","Paid Late","27","Not Applicable","TRY","AG-11","65","Yes"
"POL-00021","Bireysel","Konut","Acente","Karadeniz","2025-03-18","2025-04-07","2025-04-02","2025-03","5540","5540","0","Paid On Time","0","Not Applicable","TRY","AG-06","50","Yes"
"POL-00022","Bireysel","Trafik","Dijital","İç Anadolu","2025-09-21","2025-10-13","2025-10-11","2025-09","6140","6140","0","Paid On Time","0","Not Applicable","TRY","AG-14","53","Yes"
"POL-00023","Kurumsal","Trafik","Banka","Ege","2025-07-19","2025-08-06","2025-08-08","2025-07","26820","26820","0","Paid Late","2","Not Applicable","TRY","AG-11","42","Yes"
"POL-00024","Bireysel","Sağlık","Banka","Marmara","2025-08-13","2025-09-01","","2025-08","20440","0","20440","Cancelled","0","Not Applicable","TRY","AG-15","60","No"
"POL-00025","Bireysel","Konut","Dijital","Marmara","2025-11-11","2025-11-26","2025-11-21","2025-11","4320","4320","0","Paid On Time","0","Not Applicable","TRY","AG-04","22","Yes"
"POL-00026","Bireysel","Trafik","Dijital","Marmara","2025-06-16","2025-07-08","2025-07-07","2025-06","5250","5250","0","Paid On Time","0","Not Applicable","EUR","AG-09","56","Yes"
"POL-00027","KOBİ","Trafik","Acente","Akdeniz","2025-06-20","2025-07-20","2025-07-15","2025-06","14600","14600","0","Paid On Time","0","Not Applicable","TRY","AG-13","54","No"
"POL-00028","Bireysel","Sağlık","Dijital","Ege","2025-08-08","2025-08-25","2025-09-08","2025-08","17770","17770","0","Paid Late","14","Not Applicable","TRY","AG-09","52","Yes"
"POL-00029","Kurumsal","Trafik","Çağrı Merkezi","Ege","2025-12-06","2025-12-23","2026-01-19","2025-12","28200","28200","0","Paid Late","27","Not Applicable","TRY","AG-09","63","Yes"
"POL-00030","Bireysel","Konut","Banka","Karadeniz","2025-04-18","2025-05-08","","2025-04","4800","0","4800","Overdue","55","31-60 Days","TRY","AG-10","27","No"
"POL-00031","KOBİ","Trafik","Çağrı Merkezi","Karadeniz","2025-01-22","2025-02-11","2025-02-08","2025-01","14010","14010","0","Paid On Time","0","Not Applicable","TRY","AG-10","39","Yes"
"POL-00032","Bireysel","Trafik","Banka","Marmara","2025-06-02","2025-06-25","","2025-06","9030","5320","3710","Overdue","71","61-90 Days","TRY","AG-01","38","Yes"
"POL-00033","Bireysel","Kasko","Acente","Marmara","2025-07-01","2025-07-30","","2025-07","16470","0","16470","Overdue","58","31-60 Days","TRY","AG-04","57","Yes"
"POL-00034","Kurumsal","Konut","Acente","Ege","2025-04-10","2025-04-30","2025-05-25","2025-04","15810","15810","0","Paid Late","25","Not Applicable","TRY","AG-11","18","Yes"
"POL-00035","KOBİ","Trafik","Acente","Marmara","2025-05-24","2025-06-10","","2025-05","13270","6540","6730","Overdue","25","1-30 Days","TRY","AG-04","69","No"
"POL-00036","KOBİ","Trafik","Acente","Akdeniz","2025-09-11","2025-10-08","2025-10-04","2025-09","16230","16230","0","Paid On Time","0","Not Applicable","TRY","AG-14","49","Yes"
"POL-00037","Bireysel","Trafik","Acente","Karadeniz","2025-09-10","2025-10-04","","2025-09","9760","0","9760","Overdue","99","90+ Days","TRY","AG-06","62","Yes"
"POL-00038","Bireysel","Konut","Acente","Marmara","2025-06-12","2025-07-05","2025-07-30","2025-06","3770","3770","0","Paid Late","25","Not Applicable","TRY","AG-04","53","Yes"
"POL-00039","KOBİ","Konut","Acente","Akdeniz","2025-03-16","2025-04-13","2025-04-11","2025-03","9660","9660","0","Paid On Time","0","Not Applicable","TRY","AG-13","39","Yes"
"POL-00040","Bireysel","Trafik","Acente","Ege","2025-03-19","2025-04-15","2025-05-10","2025-03","5670","5670","0","Paid Late","25","Not Applicable","TRY","AG-02","55","Yes"
"POL-00041","KOBİ","Kasko","Acente","Marmara","2025-05-16","2025-06-14","2025-06-19","2025-05","39120","39120","0","Paid Late","5","Not Applicable","TRY","AG-08","64","No"
"POL-00042","Bireysel","Konut","Çağrı Merkezi","İç Anadolu","2025-11-13","2025-11-30","2025-11-25","2025-11","4260","4260","0","Paid On Time","0","Not Applicable","TRY","AG-10","42","Yes"
"POL-00043","Bireysel","Konut","Dijital","Marmara","2025-05-23","2025-06-15","2025-06-14","2025-05","5010","5010","0","Paid On Time","0","Not Applicable","TRY","AG-02","36","Yes"
"POL-00044","KOBİ","Sağlık","Acente","İç Anadolu","2025-11-16","2025-12-06","2025-12-06","2025-11","54580","54580","0","Paid On Time","0","Not Applicable","TRY","AG-17","52","Yes"
"POL-00045","Bireysel","Konut","Acente","İç Anadolu","2025-04-18","2025-05-12","2025-05-09","2025-04","3750","3750","0","Paid On Time","0","Not Applicable","USD","AG-16","54","Yes"
"POL-00046","Bireysel","Trafik","Acente","Marmara","2025-07-19","2025-08-11","2025-08-07","2025-07","8300","8300","0","Paid On Time","0","Not Applicable","TRY","AG-17","70","Yes"
"POL-00047","Bireysel","Trafik","Dijital","Ege","2025-09-18","2025-10-04","2025-10-03","2025-09","5270","5270","0","Paid On Time","0","Not Applicable","TRY","AG-11","53","Yes"
"POL-00048","Bireysel","Trafik","Dijital","Karadeniz","2025-02-03","2025-02-24","","2025-02","9670","7380","2290","Overdue","71","61-90 Days","TRY","AG-05","61","Yes"
"POL-00049","Kurumsal","Trafik","Acente","Marmara","2025-10-15","2025-11-05","","2025-10","31730","0","31730","Overdue","50","31-60 Days","TRY","AG-03","59","No"
"POL-00050","Bireysel","Trafik","Dijital","İç Anadolu","2025-08-18","2025-09-08","2025-09-25","2025-08","5760","5760","0","Paid Late","17","Not Applicable","TRY","AG-05","58","Yes"
"POL-00051","KOBİ","Trafik","Acente","Ege","2025-06-03","2025-06-30","2025-07-08","2025-06","16100","16100","0","Paid Late","8","Not Applicable","TRY","AG-01","43","Yes"
"POL-00052","Bireysel","Trafik","Acente","Marmara","2025-11-06","2025-11-25","2025-11-20","2025-11","8520","8520","0","Paid On Time","0","Not Applicable","TRY","AG-08","42","Yes"
"POL-00053","Bireysel","Kasko","Dijital","İç Anadolu","2025-02-06","2025-03-06","2025-04-03","2025-02","15040","15040","0","Paid Late","28","Not Applicable","TRY","AG-18","75","No"
"POL-00054","KOBİ","Sağlık","Banka","Akdeniz","2025-02-05","2025-02-19","2025-03-03","2025-02","54170","54170","0","Paid Late","12","Not Applicable","USD","AG-12","49","Yes"
"POL-00055","KOBİ","Trafik","Acente","İç Anadolu","2025-01-08","2025-02-07","2025-02-07","2025-01","17730","17730","0","Paid On Time","0","Not Applicable","TRY","AG-03","39","Yes"
"POL-00056","KOBİ","Sağlık","Dijital","İç Anadolu","2025-06-16","2025-07-14","2025-07-12","2025-06","41950","41950","0","Paid On Time","0","Not Applicable","TRY","AG-13","47","Yes"
"POL-00057","Bireysel","Sağlık","Banka","Karadeniz","2025-12-19","2026-01-14","2026-01-29","2025-12","33440","33440","0","Paid Late","15","Not Applicable","TRY","AG-03","53","Yes"
"POL-00058","Bireysel","Kasko","Acente","Karadeniz","2025-09-20","2025-10-17","","2025-09","16120","7530","8590","Overdue","39","31-60 Days","TRY","AG-03","52","Yes"
"POL-00059","Bireysel","Trafik","Acente","İç Anadolu","2025-12-21","2026-01-19","2026-01-15","2025-12","5900","5900","0","Paid On Time","0","Not Applicable","TRY","AG-16","66","No"
"POL-00060","KOBİ","Sağlık","Acente","Akdeniz","2025-04-12","2025-05-12","2025-05-29","2025-04","41880","41880","0","Paid Late","17","Not Applicable","TRY","AG-03","50","No"
"POL-00061","Bireysel","Sağlık","Banka","Marmara","2025-01-22","2025-02-12","2025-02-25","2025-01","27940","27940","0","Paid Late","13","Not Applicable","TRY","AG-18","49","Yes"
"POL-00062","Bireysel","Kasko","Acente","Marmara","2025-01-01","2025-01-21","2025-01-19","2025-01","14580","14580","0","Paid On Time","0","Not Applicable","TRY","AG-17","43","No"
"POL-00063","Bireysel","Sağlık","Acente","İç Anadolu","2025-01-22","2025-02-19","2025-02-16","2025-01","30640","30640","0","Paid On Time","0","Not Applicable","TRY","AG-02","78","Yes"
"POL-00064","Bireysel","Trafik","Acente","Ege","2025-04-06","2025-04-26","2025-04-24","2025-04","7690","7690","0","Paid On Time","0","Not Applicable","TRY","AG-06","53","No"
"POL-00065","Bireysel","Kasko","Banka","Akdeniz","2025-02-15","2025-03-13","2025-03-12","2025-02","18100","18100","0","Paid On Time","0","Not Applicable","TRY","AG-01","52","Yes"
"POL-00066","KOBİ","Konut","Acente","Marmara","2025-07-10","2025-08-08","2025-09-05","2025-07","8160","8160","0","Paid Late","28","Not Applicable","TRY","AG-05","36","Yes"
"POL-00067","Bireysel","Trafik","Çağrı Merkezi","İç Anadolu","2025-05-20","2025-06-16","","2025-05","8960","0","8960","Overdue","51","31-60 Days","TRY","AG-02","46","Yes"
"POL-00068","Bireysel","Trafik","Dijital","İç Anadolu","2025-06-05","2025-06-23","2025-06-20","2025-06","7760","7760","0","Paid On Time","0","Not Applicable","TRY","AG-16","48","Yes"
"POL-00069","Bireysel","Sağlık","Çağrı Merkezi","Ege","2025-08-02","2025-08-16","2025-08-15","2025-08","17320","17320","0","Paid On Time","0","Not Applicable","TRY","AG-10","55","Yes"
"POL-00070","Bireysel","Sağlık","Dijital","Marmara","2025-01-12","2025-02-04","2025-02-02","2025-01","20600","20600","0","Paid On Time","0","Not Applicable","TRY","AG-07","53","Yes"
"POL-00071","Kurumsal","Konut","Acente","Akdeniz","2025-08-16","2025-09-05","2025-09-03","2025-08","21980","21980","0","Paid On Time","0","Not Applicable","TRY","AG-10","25","No"
"POL-00072","Bireysel","Kasko","Banka","Marmara","2025-04-20","2025-05-12","2025-05-10","2025-04","20190","20190","0","Paid On Time","0","Not Applicable","TRY","AG-09","48","Yes"
"POL-00073","Bireysel","Sağlık","Acente","Karadeniz","2025-04-04","2025-04-28","2025-05-04","2025-04","23010","23010","0","Paid Late","6","Not Applicable","TRY","AG-03","78","Yes"
"POL-00074","Bireysel","Trafik","Banka","Marmara","2025-05-08","2025-06-02","2025-06-23","2025-05","7210","7210","0","Paid Late","21","Not Applicable","TRY","AG-17","51","No"
"POL-00075","Bireysel","Kasko","Acente","İç Anadolu","2025-02-24","2025-03-22","2025-03-17","2025-02","21720","21720","0","Paid On Time","0","Not Applicable","TRY","AG-18","53","Yes"
"POL-00076","KOBİ","Kasko","Çağrı Merkezi","Marmara","2025-08-01","2025-08-19","","2025-08","28450","0","28450","Overdue","98","90+ Days","TRY","AG-02","52","No"
"POL-00077","KOBİ","Sağlık","Çağrı Merkezi","Marmara","2025-01-20","2025-02-15","2025-02-12","2025-01","38310","38310","0","Paid On Time","0","Not Applicable","TRY","AG-08","48","Yes"
"POL-00078","Bireysel","Trafik","Dijital","Karadeniz","2025-06-08","2025-07-03","2025-06-30","2025-06","7030","7030","0","Paid On Time","0","Not Applicable","TRY","AG-12","53","Yes"
"POL-00079","Kurumsal","Konut","Acente","Ege","2025-12-09","2026-01-08","2026-01-24","2025-12","19450","19450","0","Paid Late","16","Not Applicable","TRY","AG-01","16","Yes"
"POL-00080","Kurumsal","Konut","Dijital","Akdeniz","2025-03-10","2025-03-30","2025-03-27","2025-03","15500","15500","0","Paid On Time","0","Not Applicable","USD","AG-11","42","Yes"
"POL-00081","Bireysel","Trafik","Çağrı Merkezi","İç Anadolu","2025-11-23","2025-12-20","","2025-11","10200","0","10200","Cancelled","0","Not Applicable","TRY","AG-06","61","No"
"POL-00082","Bireysel","Kasko","Çağrı Merkezi","Akdeniz","2025-01-15","2025-02-10","","2025-01","25300","0","25300","Overdue","18","1-30 Days","TRY","AG-17","54","No"
"POL-00083","Kurumsal","Trafik","Acente","Marmara","2025-12-13","2026-01-08","","2025-12","25930","0","25930","Overdue","83","61-90 Days","TRY","AG-18","47","Yes"
"POL-00084","Bireysel","Kasko","Acente","Akdeniz","2025-03-07","2025-03-21","2025-03-21","2025-03","14950","14950","0","Paid On Time","0","Not Applicable","TRY","AG-01","50","Yes"
"POL-00085","Kurumsal","Trafik","Banka","İç Anadolu","2025-12-17","2026-01-12","2026-01-07","2025-12","33950","33950","0","Paid On Time","0","Not Applicable","TRY","AG-04","62","Yes"
"POL-00086","Bireysel","Trafik","Dijital","Ege","2025-04-10","2025-05-06","2025-05-09","2025-04","8350","8350","0","Paid Late","3","Not Applicable","TRY","AG-17","44","No"
"POL-00087","Bireysel","Kasko","Acente","Marmara","2025-05-20","2025-06-10","2025-06-10","2025-05","16450","16450","0","Paid On Time","0","Not Applicable","TRY","AG-05","44","Yes"
"POL-00088","Bireysel","Kasko","Dijital","Marmara","2025-02-01","2025-02-26","2025-03-17","2025-02","18470","18470","0","Paid Late","19","Not Applicable","TRY","AG-10","58","Yes"
"POL-00089","KOBİ","Kasko","Dijital","Karadeniz","2025-01-24","2025-02-23","2025-02-19","2025-01","41640","41640","0","Paid On Time","0","Not Applicable","TRY","AG-16","59","Yes"
"POL-00090","Bireysel","Seyahat","Acente","Ege","2025-03-06","2025-03-28","2025-03-28","2025-03","1810","1810","0","Paid On Time","0","Not Applicable","TRY","AG-14","22","Yes"
"POL-00091","Bireysel","Kasko","Acente","Marmara","2025-09-17","2025-10-08","2025-10-04","2025-09","23650","23650","0","Paid On Time","0","Not Applicable","TRY","AG-05","67","Yes"
"POL-00092","Kurumsal","Trafik","Acente","İç Anadolu","2025-10-01","2025-10-20","2025-10-20","2025-10","31450","31450","0","Paid On Time","0","Not Applicable","TRY","AG-17","34","Yes"
"POL-00093","Bireysel","Sağlık","Dijital","Akdeniz","2025-07-21","2025-08-20","2025-08-15","2025-07","31410","31410","0","Paid On Time","0","Not Applicable","TRY","AG-02","68","Yes"
"POL-00094","Bireysel","Kasko","Banka","Akdeniz","2025-02-17","2025-03-19","2025-03-18","2025-02","18410","18410","0","Paid On Time","0","Not Applicable","USD","AG-04","54","Yes"
"POL-00095","Bireysel","Sağlık","Acente","Marmara","2025-01-13","2025-02-07","2025-02-11","2025-01","26840","26840","0","Paid Late","4","Not Applicable","TRY","AG-08","48","No"
"POL-00096","Bireysel","Sağlık","Dijital","Marmara","2025-11-24","2025-12-18","2025-12-29","2025-11","28900","28900","0","Paid Late","11","Not Applicable","TRY","AG-15","73","Yes"
"POL-00097","Bireysel","Kasko","Banka","İç Anadolu","2025-06-11","2025-07-01","","2025-06","15870","0","15870","Overdue","120","90+ Days","TRY","AG-14","53","No"
"POL-00098","KOBİ","Kasko","Dijital","Marmara","2025-09-15","2025-10-14","2025-10-13","2025-09","25710","25710","0","Paid On Time","0","Not Applicable","TRY","AG-17","63","Yes"
"POL-00099","Bireysel","Sağlık","Dijital","Ege","2025-06-20","2025-07-14","2025-07-18","2025-06","22120","22120","0","Paid Late","4","Not Applicable","TRY","AG-02","78","No"
"POL-00100","Kurumsal","Kasko","Acente","İç Anadolu","2025-10-08","2025-10-28","2025-10-24","2025-10","73700","73700","0","Paid On Time","0","Not Applicable","TRY","AG-03","54","Yes"
"POL-00101","Kurumsal","Trafik","Banka","Marmara","2025-12-03","2025-12-30","2025-12-26","2025-12","25810","25810","0","Paid On Time","0","Not Applicable","TRY","AG-08","52","Yes"
"POL-00102","Kurumsal","Konut","Acente","Marmara","2025-05-17","2025-06-12","","2025-05","19790","0","19790","Overdue","28","1-30 Days","TRY","AG-04","31","Yes"
"POL-00103","KOBİ","Kasko","Acente","İç Anadolu","2025-04-02","2025-04-23","2025-04-19","2025-04","39250","39250","0","Paid On Time","0","Not Applicable","TRY","AG-14","48","Yes"
"POL-00104","Kurumsal","Seyahat","Acente","Ege","2025-11-23","2025-12-07","2025-12-07","2025-11","6390","6390","0","Paid On Time","0","Not Applicable","TRY","AG-05","28","No"
"POL-00105","Bireysel","Konut","Acente","Akdeniz","2025-12-18","2026-01-17","2026-01-29","2025-12","6440","6440","0","Paid Late","12","Not Applicable","TRY","AG-07","48","No"
"POL-00106","KOBİ","Trafik","Banka","Karadeniz","2025-04-17","2025-05-09","2025-05-08","2025-04","11540","11540","0","Paid On Time","0","Not Applicable","TRY","AG-12","65","Yes"
"POL-00107","Bireysel","Trafik","Dijital","Akdeniz","2025-05-10","2025-06-09","2025-06-06","2025-05","7230","7230","0","Paid On Time","0","Not Applicable","TRY","AG-05","68","Yes"
"POL-00108","Bireysel","Kasko","Dijital","Karadeniz","2025-08-05","2025-08-20","2025-09-03","2025-08","23610","23610","0","Paid Late","14","Not Applicable","TRY","AG-09","48","No"
"POL-00109","Bireysel","Kasko","Acente","Marmara","2025-01-12","2025-01-28","2025-02-20","2025-01","22430","22430","0","Paid Late","23","Not Applicable","TRY","AG-06","72","Yes"
"POL-00110","Bireysel","Seyahat","Acente","Ege","2025-02-03","2025-02-24","2025-02-27","2025-02","1970","1970","0","Paid Late","3","Not Applicable","TRY","AG-03","49","Yes"
"POL-00111","Bireysel","Sağlık","Dijital","Marmara","2025-07-10","2025-08-02","2025-07-29","2025-07","33520","33520","0","Paid On Time","0","Not Applicable","TRY","AG-11","67","Yes"
"POL-00112","Bireysel","Trafik","Acente","Akdeniz","2025-06-13","2025-07-07","2025-07-07","2025-06","5540","5540","0","Paid On Time","0","Not Applicable","TRY","AG-14","42","Yes"
"POL-00113","Bireysel","Trafik","Banka","Marmara","2025-02-09","2025-02-27","","2025-02","7560","4450","3110","Overdue","67","61-90 Days","TRY","AG-09","63","No"
"POL-00114","Bireysel","Konut","Acente","İç Anadolu","2025-10-19","2025-11-17","2025-11-16","2025-10","5910","5910","0","Paid On Time","0","Not Applicable","USD","AG-10","28","Yes"
"POL-00115","KOBİ","Konut","Dijital","Ege","2025-07-14","2025-08-01","2025-07-31","2025-07","11360","11360","0","Paid On Time","0","Not Applicable","TRY","AG-16","31","Yes"
"POL-00116","Bireysel","Kasko","Dijital","Marmara","2025-09-14","2025-10-08","2025-10-17","2025-09","24770","24770","0","Paid Late","9","Not Applicable","TRY","AG-16","65","No"
"POL-00117","Bireysel","Sağlık","Banka","Ege","2025-07-06","2025-07-29","2025-08-26","2025-07","21250","21250","0","Paid Late","28","Not Applicable","TRY","AG-11","56","Yes"
"POL-00118","Kurumsal","Kasko","Dijital","İç Anadolu","2025-06-14","2025-07-06","2025-07-01","2025-06","71630","71630","0","Paid On Time","0","Not Applicable","TRY","AG-16","48","Yes"
"POL-00119","Kurumsal","Kasko","Acente","Akdeniz","2025-10-14","2025-11-01","2025-11-01","2025-10","64740","64740","0","Paid On Time","0","Not Applicable","TRY","AG-08","38","Yes"
"POL-00120","KOBİ","Trafik","Acente","Marmara","2025-05-17","2025-06-03","2025-05-30","2025-05","12820","12820","0","Paid On Time","0","Not Applicable","EUR","AG-15","39","Yes"
"POL-00121","Kurumsal","Kasko","Çağrı Merkezi","Karadeniz","2025-01-10","2025-01-29","2025-02-05","2025-01","69280","69280","0","Paid Late","7","Not Applicable","TRY","AG-16","63","Yes"
"POL-00122","Bireysel","Seyahat","Acente","Karadeniz","2025-02-24","2025-03-15","2025-03-10","2025-02","1730","1730","0","Paid On Time","0","Not Applicable","TRY","AG-08","48","No"
"POL-00123","Bireysel","Konut","Acente","Marmara","2025-08-16","2025-09-07","","2025-08","6010","0","6010","Overdue","35","31-60 Days","USD","AG-06","36","No"
"POL-00124","Bireysel","Seyahat","Çağrı Merkezi","Marmara","2025-06-02","2025-06-21","2025-06-19","2025-06","2690","2690","0","Paid On Time","0","Not Applicable","TRY","AG-14","28","Yes"
"POL-00125","Kurumsal","Seyahat","Acente","İç Anadolu","2025-09-23","2025-10-23","","2025-09","6740","0","6740","Overdue","95","90+ Days","TRY","AG-12","43","Yes"
"POL-00126","KOBİ","Konut","Dijital","Marmara","2025-10-08","2025-11-05","2025-11-05","2025-10","6600","6600","0","Paid On Time","0","Not Applicable","TRY","AG-01","25","Yes"
"POL-00127","Bireysel","Trafik","Acente","Akdeniz","2025-04-04","2025-05-01","2025-04-26","2025-04","8500","8500","0","Paid On Time","0","Not Applicable","TRY","AG-14","70","Yes"
"POL-00128","Kurumsal","Trafik","Dijital","Ege","2025-09-08","2025-09-23","2025-09-20","2025-09","23660","23660","0","Paid On Time","0","Not Applicable","TRY","AG-04","58","No"
"POL-00129","Bireysel","Trafik","Çağrı Merkezi","İç Anadolu","2025-06-18","2025-07-18","2025-07-25","2025-06","7120","7120","0","Paid Late","7","Not Applicable","TRY","AG-02","57","Yes"
"POL-00130","Bireysel","Seyahat","Acente","İç Anadolu","2025-11-20","2025-12-18","","2025-11","1710","0","1710","Overdue","67","61-90 Days","TRY","AG-10","20","Yes"
"POL-00131","Bireysel","Konut","Banka","Marmara","2025-09-02","2025-09-21","2025-09-18","2025-09","4280","4280","0","Paid On Time","0","Not Applicable","TRY","AG-06","25","Yes"
"POL-00132","KOBİ","Konut","Banka","Marmara","2025-04-12","2025-04-28","2025-04-28","2025-04","6430","6430","0","Paid On Time","0","Not Applicable","TRY","AG-04","53","Yes"
"POL-00133","Bireysel","Trafik","Acente","İç Anadolu","2025-09-22","2025-10-10","2025-10-05","2025-09","6720","6720","0","Paid On Time","0","Not Applicable","TRY","AG-09","57","Yes"
"POL-00134","Bireysel","Trafik","Dijital","İç Anadolu","2025-10-07","2025-10-26","2025-10-24","2025-10","7610","7610","0","Paid On Time","0","Not Applicable","TRY","AG-15","54","Yes"
"POL-00135","KOBİ","Trafik","Acente","Marmara","2025-02-07","2025-02-21","2025-02-20","2025-02","18110","18110","0","Paid On Time","0","Not Applicable","TRY","AG-18","59","Yes"
"POL-00136","Bireysel","Konut","Banka","Ege","2025-12-11","2025-12-31","2025-12-30","2025-12","6270","6270","0","Paid On Time","0","Not Applicable","TRY","AG-18","29","Yes"
"POL-00137","Bireysel","Trafik","Acente","Marmara","2025-09-11","2025-10-02","2025-10-02","2025-09","7140","7140","0","Paid On Time","0","Not Applicable","TRY","AG-15","53","Yes"
"POL-00138","Bireysel","Sağlık","Acente","Marmara","2025-12-14","2025-12-28","2025-12-24","2025-12","20600","20600","0","Paid On Time","0","Not Applicable","TRY","AG-10","79","No"
"POL-00139","KOBİ","Kasko","Acente","Ege","2025-09-11","2025-09-27","2025-09-27","2025-09","24250","24250","0","Paid On Time","0","Not Applicable","TRY","AG-07","61","Yes"
"POL-00140","Bireysel","Sağlık","Çağrı Merkezi","Marmara","2025-10-21","2025-11-10","2025-11-06","2025-10","21880","21880","0","Paid On Time","0","Not Applicable","TRY","AG-02","66","Yes"
"POL-00141","Bireysel","Konut","Banka","Marmara","2025-01-06","2025-01-20","2025-01-25","2025-01","3980","3980","0","Paid Late","5","Not Applicable","TRY","AG-02","50","Yes"
"POL-00142","Bireysel","Trafik","Çağrı Merkezi","Marmara","2025-07-01","2025-07-15","2025-07-11","2025-07","6130","6130","0","Paid On Time","0","Not Applicable","TRY","AG-12","69","Yes"
"POL-00143","Bireysel","Trafik","Dijital","Ege","2025-07-03","2025-07-23","2025-07-19","2025-07","9150","9150","0","Paid On Time","0","Not Applicable","TRY","AG-10","64","Yes"
"POL-00144","Bireysel","Kasko","Banka","Marmara","2025-10-06","2025-11-04","","2025-10","14400","0","14400","Overdue","96","90+ Days","TRY","AG-01","67","Yes"
"POL-00145","KOBİ","Kasko","Acente","Akdeniz","2025-12-14","2026-01-13","2026-01-18","2025-12","35870","35870","0","Paid Late","5","Not Applicable","TRY","AG-15","53","Yes"
"POL-00146","Bireysel","Trafik","Çağrı Merkezi","Akdeniz","2025-08-04","2025-08-31","2025-08-30","2025-08","5990","5990","0","Paid On Time","0","Not Applicable","TRY","AG-06","70","Yes"
"POL-00147","KOBİ","Sağlık","Dijital","Marmara","2025-06-13","2025-07-07","2025-07-06","2025-06","32050","32050","0","Paid On Time","0","Not Applicable","TRY","AG-13","48","Yes"
